	patient	subtype	age	gender	race	ajcc_pathologic_tumor_stage	histological_type	histological_grade	treatment_outcome_first_course	Overall	OS.time	Disease-Specific	DSS.time	Disease-Free	DFI.time	Progression-Free	PFI.time
ACC	y	n	y	y	y	y	n	n	y	y	y	y	y	n	n	y	y
BLCA	y	y	y	y	y	y	n	y	y	y	y	y	y	y	y	y	y
BRCA	y	y	y	y	y	y	y	n	n	y	y	y	y	y	y	y	y
CESC	y	y	y	y	y	n	y	y	y	y	y	y	y	y	y	y	y
CHOL	y	n	y	y	y	y	n	y	n	y	y	y	y	y	y	y	y
COAD	y	y	y	y	y	y	y	n	y	y	y	y	y	y	y	y	y
DLBCL	y	n	y	y	y	n	n	n	y	y	y	y	y	y	y	y	y
ESCA	y	n	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y
GBM	y	y	y	y	y	n	y	n	n	y	y	y	y	n	n	y	y
HNSC	y	n	y	y	y	y	n	y	y	y	y	y	y	n	n	y	y
KICH	y	n	y	y	y	y	n	n	n	y	y	y	y	n	n	y	y
KIRC	y	y	y	y	y	y	n	y	y	y	y	y	y	y	y	y	y
KIRP	y	y	y	y	y	y	n	n	y	y	y	y	y	y	y	y	y
LGG	y	y	y	y	y	n	y	y	y	y	y	y	y	y	y	y	y
LIHC	y	n	y	y	y	y	n	y	n	y	y	y	y	y	y	y	y
LUAD	y	y	y	y	y	y	n	n	y	y	y	y	y	y	y	y	y
LUSC	y	y	y	y	y	y	n	n	y	y	y	y	y	n	y	y	y
MESO	y	n	y	y	y	y	y	n	n	y	y	y	y	y	y	y	y
OV	y	y	y	y	y	n	n	y	y	y	y	y	y	y	y	y	y
PAAD	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y
PCPG	y	n	y	y	y	n	y	n	y	y	y	y	y	y	y	y	y
PRAD	y	n	y	y	y	n	y	n	y	y	y	y	y	y	y	y	y
READ	y	n	y	y	y	y	y	n	y	y	y	y	y	y	y	y	y
SARC	y	y	y	y	y	n	y	n	n	y	y	y	y	y	y	y	y
SKCM	y	y	y	y	y	y	n	n	n	y	y	y	y	n	n	y	y
STAD	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y
TGCT	y	n	y	y	y	y	y	n	y	y	y	y	y	y	y	y	y
THCA	y	y	y	y	y	y	y	n	n	y	y	y	y	y	y	y	y
THYM	y	n	y	y	y	n	y	n	n	y	y	y	y	n	n	y	y
UCEC	y	y	y	y	y	n	y	y	y	y	y	y	y	y	y	y	y
UCS	y	n	y	y	y	n	y	n	y	y	y	y	y	y	y	y	y
